,0,1
0,CACM-0001.txt,"['preliminary', 'reportinternational', 'algebraic', 'language', 'cacm', 'december', 'perlis', 'j', 'samelsonk', 'ca', 'jb', 'march', 'pm']"
1,CACM-0002.txt,"['extraction', 'root', 'repeated', 'subtraction', 'digital', 'computer', 'cacm', 'december', 'sugai', 'ca', 'jb', 'march', 'pm']"
2,CACM-0003.txt,"['technique', 'department', 'matrix', 'program', 'scheme', 'cacm', 'december', 'friedman', 'ca', 'jb', 'march', 'pm']"
3,CACM-0004.txt,"['glossary', 'computer', 'engineering', 'programming', 'terminology', 'cacm', 'november', 'ca', 'jb', 'march', 'pm']"
4,CACM-0005.txt,"['two', 'squareroot', 'approximation', 'cacm', 'november', 'wadey', 'w', 'g', 'ca', 'jb', 'march', 'pm']"
5,CACM-0006.txt,"['use', 'computer', 'inspection', 'procedure', 'cacm', 'november', 'muller', 'e', 'ca', 'jb', 'march', 'pm']"
6,CACM-0007.txt,"['glossary', 'computer', 'engineering', 'programming', 'terminology', 'cacm', 'october', 'ca', 'jb', 'march', 'pm']"
7,CACM-0008.txt,"['equivalence', 'transformation', 'program', 'scheme', 'cacm', 'october', 'friedman', 'ca', 'jb', 'march', 'pm']"
8,CACM-0009.txt,"['proposal', 'uncol', 'cacm', 'october', 'conway', 'e', 'ca', 'jb', 'march', 'pm']"
9,CACM-0010.txt,"['glossary', 'computer', 'engineering', 'programming', 'terminology', 'cacm', 'september', 'ca', 'jb', 'march', 'pm']"
10,CACM-0011.txt,"['problem', 'programming', 'communication', 'changing', 'machine', 'proposed', 'solutionpart', 'cacm', 'september', 'strong', 'j', 'wegstein', 'j', 'tritter', 'olsztyn', 'j', 'mock', 'steel', 'ca', 'jb', 'march', 'pm']"
11,CACM-0012.txt,"['error', 'estimation', 'rungekutta', 'procedure', 'cacm', 'september', 'call', 'h', 'reef', 'r', 'f', 'ca', 'jb', 'march', 'pm']"
12,CACM-0013.txt,"['glossary', 'computer', 'engineering', 'programming', 'terminology', 'cacm', 'august', 'ca', 'jb', 'march', 'pm']"
13,CACM-0014.txt,"['problem', 'programming', 'communication', 'changing', 'machine', 'proposed', 'solution', 'part', 'cacm', 'august', 'strong', 'j', 'wegstein', 'j', 'tritter', 'olsztyn', 'j', 'mock', 'steel', 'ca', 'jb', 'march', 'pm']"
14,CACM-0015.txt,"['recursive', 'curve', 'fitting', 'technique', 'cacm', 'august', 'giblin', 'j', 'ca', 'jb', 'march', 'pm']"
15,CACM-0016.txt,"['secant', 'modification', 'newton', 'method', 'cacm', 'august', 'jeeves', 'ca', 'jb', 'march', 'pm']"
16,CACM-0017.txt,"['programming', 'arithmetic', 'operation', 'cacm', 'august', 'ershov', 'p', 'ca', 'jb', 'march', 'pm']"
17,CACM-0018.txt,"['simple', 'automatic', 'coding', 'system', 'cacm', 'july', 'adam', 'e', 'schlesinger', 'ca', 'jb', 'march', 'pm']"
18,CACM-0019.txt,"['glossary', 'computer', 'engineering', 'programming', 'terminology', 'cacm', 'june', 'ca', 'jb', 'march', 'pm']"
19,CACM-0020.txt,"['accelerating', 'convergence', 'iterative', 'process', 'technique', 'discussed', 'applied', 'iterative', 'procedure', 'solution', 'equation', 'accelerates', 'rate', 'convergence', 'iteration', 'converges', 'induces', 'convergence', 'iteration', 'diverges', 'illustrative', 'example', 'given', 'cacm', 'june', 'wegstein', 'j', 'h', 'ca', 'jb', 'march', 'pm']"
20,CACM-0021.txt,"['algebraic', 'formulation', 'flow', 'diagram', 'cacm', 'june', 'voorhees', 'e', 'ca', 'jb', 'march', 'pm']"
21,CACM-0022.txt,"['unusual', 'application', 'departmentautomatic', 'implementation', 'computer', 'logic', 'cacm', 'may', 'morris', 'e', 'f', 'wohr', 'e', 'ca', 'jb', 'march', 'pm']"
22,CACM-0023.txt,"['binary', 'truthfunction', 'operation', 'decimal', 'computer', 'extract', 'command', 'cacm', 'may', 'kautz', 'w', 'h', 'ca', 'jb', 'march', 'pm']"
23,CACM-0024.txt,"['improved', 'decimal', 'redundancy', 'check', 'cacm', 'may', 'sisson', 'r', 'l', 'ca', 'jb', 'march', 'pm']"
24,CACM-0025.txt,"['general', 'purpose', 'programming', 'system', 'cacm', 'may', 'holt', 'w', 'ca', 'jb', 'march', 'pm']"
25,CACM-0026.txt,"['subroutine', 'method', 'calculating', 'logarithm', 'cacm', 'may', 'bemer', 'r', 'w', 'ca', 'jb', 'march', 'pm']"
26,CACM-0027.txt,"['note', 'empirical', 'bound', 'generating', 'bessel', 'function', 'cacm', 'may', 'randels', 'j', 'b', 'reef', 'r', 'f', 'ca', 'jb', 'march', 'pm']"
27,CACM-0028.txt,"['request', 'method', 'program', 'cacm', 'april', 'corley', 'h', 'p', 'ca', 'jb', 'march', 'pm']"
28,CACM-0029.txt,"['need', 'algorithm', 'cacm', 'april', 'selden', 'w', 'ca', 'jb', 'march', 'pm']"
29,CACM-0030.txt,"['algorithm', 'analyzing', 'logical', 'statement', 'produce', 'truth', 'function', 'table', 'cacm', 'march', 'wolpe', 'h', 'ca', 'jb', 'march', 'pm']"
30,CACM-0031.txt,"['ibm', 'codenundrums', 'cacm', 'march', 'grumette', 'ca', 'jb', 'march', 'pm']"
31,CACM-0032.txt,"['variablewidth', 'table', 'binarysearch', 'facility', 'cacm', 'february', 'halpern', 'ca', 'jb', 'march', 'pm']"
32,CACM-0033.txt,"['programmed', 'binary', 'counter', 'ibm', 'type', 'calculator', 'cacm', 'january', 'kenny', 'b', 'c', 'hunter', 'j', 'ca', 'jb', 'march', 'pm']"
33,CACM-0034.txt,"['table', 'automatic', 'computation', 'cacm', 'january', 'wilf', 'h', 'ca', 'jb', 'march', 'pm']"
34,CACM-0035.txt,"['machine', 'method', 'squareroot', 'computation', 'cacm', 'january', 'bemer', 'r', 'w', 'ca', 'jb', 'march', 'pm']"
35,CACM-0036.txt,"['queue', 'network', 'simulator', 'ibm', 'burroughs', 'cacm', 'december', 'conway', 'r', 'w', 'johnson', 'b', 'maxwell', 'w', 'l', 'ca', 'jb', 'march', 'pm']"
36,CACM-0037.txt,"['impact', 'computer', 'development', 'cacm', 'december', 'humphrey', 'ca', 'jb', 'march', 'pm']"
37,CACM-0038.txt,"['proposed', 'interpretation', 'algol', 'cacm', 'december', 'iron', 'e', 'acton', 'f', 'ca', 'jb', 'march', 'pm']"
38,CACM-0039.txt,"['secant', 'method', 'simultaneous', 'nonlinear', 'equation', 'procedure', 'simultaneous', 'solution', 'system', 'notnecessarilylinear', 'equation', 'generalization', 'secant', 'method', 'single', 'function', 'one', 'variable', 'given', 'cacm', 'december', 'wolfe', 'p', 'ca', 'jb', 'march', 'pm']"
39,CACM-0040.txt,"['finger', 'fist', 'choice', 'decimal', 'binary', 'representation', 'binary', 'number', 'system', 'offer', 'many', 'advantage', 'decimal', 'representation', 'highperformance', 'generalpurpose', 'computer', 'greater', 'simplicity', 'binary', 'arithmetic', 'unit', 'greater', 'compactness', 'binary', 'number', 'contribute', 'directly', 'arithmetic', 'speed', 'le', 'obvious', 'perhaps', 'important', 'way', 'binary', 'addressing', 'instruction', 'format', 'increase', 'overall', 'performance', 'binary', 'address', 'also', 'essential', 'certain', 'powerful', 'operation', 'practical', 'decimal', 'instruction', 'format', 'hand', 'decimal', 'number', 'essential', 'communicating', 'man', 'computer', 'application', 'requiring', 'processing', 'large', 'volume', 'inherently', 'decimal', 'input', 'output', 'data', 'time', 'decimalbinary', 'conversion', 'needed', 'purely', 'binary', 'computer', 'may', 'significant', 'slower', 'decimal', 'adder', 'may', 'take', 'le', 'time', 'fast', 'binary', 'adder', 'addition', 'two', 'conversion', 'careful', 'review', 'significance', 'decimal', 'binary', 'addressing', 'binary', 'decimal', 'data', 'arithmetic', 'supplemented', 'efficient', 'conversion', 'instruction', 'cacm', 'december', 'buchholz', 'w', 'ca', 'jb', 'march', 'pm']"
40,CACM-0041.txt,"['note', 'computer', 'research', 'eastern', 'europe', 'cacm', 'december', 'nadler', 'ca', 'jb', 'march', 'pm']"
41,CACM-0042.txt,"['new', 'method', 'computation', 'square', 'root', 'without', 'using', 'division', 'cacm', 'november', 'sarafyan', 'ca', 'jb', 'march', 'pm']"
42,CACM-0043.txt,"['technique', 'handling', 'macro', 'instruction', 'cacm', 'november', 'greenwald', 'ca', 'jb', 'march', 'pm']"
43,CACM-0044.txt,"['runciblealgebraic', 'translation', 'limited', 'computer', 'cacm', 'november', 'knuth', 'e', 'ca', 'jb', 'march', 'pm']"
44,CACM-0045.txt,"['flow', 'outlininga', 'substitute', 'flow', 'charting', 'cacm', 'november', 'gant', 'w', 'ca', 'jb', 'march', 'pm']"
